affector,target,strength
P_relA,H6G84_RS13470,0.116684616
P_Light(umol_photons_m-2_s-1),H6G84_RS00820,0.15186216
P_Light(umol_photons_m-2_s-1),H6G84_RS13300,0.20850335
H6G84_RS12160,H6G84_RS11200,0.15991096
H6G84_RS09525,H6G84_RS11200,0.16759282
P_tesA,H6G84_RS11200,-0.37926087
P_rpaA_D53E,H6G84_RS11200,0.38290957
P_OX_plasmid,H6G84_RS11200,0.49498847
P_Subjective_dawn,H6G84_RS11200,-0.4314071
P_p0050_kaiBC,H6G84_RS11200,-0.32175413
P_rel,H6G84_RS11200,-0.7070203
P_pAM2991-xylEAB,H6G84_RS11200,0.6050865
P_pAM2991-galP,H6G84_RS11200,0.44598833
P_pilB::Tn5,H6G84_RS11200,-0.32218733
H6G84_RS09745,H6G84_RS05575,0.118476406
H6G84_RS12160,H6G84_RS05575,0.58045954
H6G84_RS05285,H6G84_RS05575,0.81391245
H6G84_RS00730,H6G84_RS05575,0.3270104
H6G84_RS09525,H6G84_RS05575,0.23299447
H6G84_RS12975,H6G84_RS05575,0.12544848
H6G84_RS02205,H6G84_RS05575,0.35307407
H6G84_RS11960,H6G84_RS05575,0.18836789
P_aas,H6G84_RS05575,-0.11725322
P_tesA,H6G84_RS05575,0.66845536
P_rpaA_D53E,H6G84_RS05575,-0.63044375
P_OX_plasmid,H6G84_RS05575,0.18807296
P_Subjective_dawn,H6G84_RS05575,-0.60820925
P_Subjective_dusk,H6G84_RS05575,0.70589566
P_p0050_kaiBC,H6G84_RS05575,-0.70230114
P_rel,H6G84_RS05575,-0.48907846
P_relA,H6G84_RS05575,0.17843106
P_relA_E335Q,H6G84_RS05575,0.76393193
P_sigF,H6G84_RS05575,0.14444858
P_pAM2991-galP,H6G84_RS05575,0.27598712
P_pilB::Tn5,H6G84_RS05575,0.5404557
P_CM,H6G84_RS05575,0.4634266
P_Light(umol_photons_m-2_s-1),H6G84_RS02950,-0.11264417
H6G84_RS12160,H6G84_RS02410,0.3602794
H6G84_RS05575,H6G84_RS02410,0.11095194
P_tesA,H6G84_RS02410,-0.1805631
P_rpaA_D53E,H6G84_RS02410,0.28217906
P_OX_plasmid,H6G84_RS02410,0.5639499
P_p0050_kaiBC,H6G84_RS02410,-0.24791461
P_pilB::Tn5,H6G84_RS02410,0.1274018
H6G84_RS12975,H6G84_RS10655,-0.1375312
P_tesA,H6G84_RS10655,-0.19771788
P_p0050_kaiBC,H6G84_RS10655,-0.45290732
P_rel,H6G84_RS10655,0.20544638
P_relA,H6G84_RS10655,0.7832171
H6G84_RS13220,H6G84_RS04975,0.18255347
H6G84_RS09745,H6G84_RS06980,0.10936131
H6G84_RS12160,H6G84_RS06980,0.114266604
P_OX_plasmid,H6G84_RS06980,0.17015989
P_p0050_kaiBC,H6G84_RS06980,-0.96050256
P_relA_E335Q,H6G84_RS06980,0.11219863
H6G84_RS12160,H6G84_RS07445,0.2542401
P_rpaA_D53E,H6G84_RS07445,0.20942497
P_OX_plasmid,H6G84_RS07445,0.3471995
P_p0050_kaiBC,H6G84_RS07445,-0.22589485
H6G84_RS05575,H6G84_RS04365,0.14786
P_tesA,H6G84_RS04365,-0.15047157
P_p0050_kaiBC,H6G84_RS04365,-0.23102877
P_relA,H6G84_RS04365,0.102949984
P_Light(umol_photons_m-2_s-1),H6G84_RS05805,0.2932526
H6G84_RS12160,H6G84_RS01645,-0.14531253
H6G84_RS05575,H6G84_RS01645,-0.28316304
P_rpaA_D53E,H6G84_RS01645,0.18804187
P_OX_plasmid,H6G84_RS01645,0.3823581
P_p0050_kaiBC,H6G84_RS01645,-0.49278903
P_relA,H6G84_RS01645,0.11308556
P_pilB::Tn5,H6G84_RS01645,-0.10642881
P_Light(umol_photons_m-2_s-1),H6G84_RS11285,0.35004908
H6G84_RS03180,H6G84_RS01390,0.114611976
H6G84_RS05575,H6G84_RS01390,0.17410815
P_tesA,H6G84_RS01390,0.21316619
P_rpaA_D53E,H6G84_RS01390,-0.27626917
P_OX_plasmid,H6G84_RS01390,-0.12652682
P_p0050_kaiBC,H6G84_RS01390,-0.7867655
P_relA,H6G84_RS01390,0.15847838
H6G84_RS12160,H6G84_RS08975,0.27145052
H6G84_RS09500,H6G84_RS08975,0.16875936
H6G84_RS12975,H6G84_RS08975,0.112413295
H6G84_RS11960,H6G84_RS08975,0.104807705
H6G84_RS11200,H6G84_RS08975,0.25463375
H6G84_RS05575,H6G84_RS08975,0.11162602
P_tesA,H6G84_RS08975,-0.41219583
P_OX_plasmid,H6G84_RS08975,0.24012709
P_p0050_kaiBC,H6G84_RS08975,-0.27542347
P_relA,H6G84_RS08975,-0.22621939
P_relA_E335Q,H6G84_RS08975,0.5569567
P_pilB::Tn5,H6G84_RS08975,0.3577087
P_p0050_kaiBC,H6G84_RS06645,-0.26440743
P_relA_E335Q,H6G84_RS06645,0.10321605
P_OX_plasmid,H6G84_RS06185,0.19893855
P_p0050_kaiBC,H6G84_RS06185,0.24195242
P_pilB::Tn5,H6G84_RS06185,0.16110042
H6G84_RS05285,H6G84_RS12555,0.1841574
H6G84_RS09525,H6G84_RS12555,-0.19251028
P_tesA,H6G84_RS12555,-0.12696089
P_OX_plasmid,H6G84_RS12555,-0.34800422
P_Subjective_dawn,H6G84_RS12555,-0.27540252
P_Subjective_dusk,H6G84_RS12555,0.123116665
P_p0050_kaiBC,H6G84_RS12555,0.37780902
P_rel,H6G84_RS12555,-0.14424397
P_relA,H6G84_RS12555,0.2741412
H6G84_RS09745,0,0.5013424
H6G84_RS03740,0,0.11474376
H6G84_RS12810,0,0.27209917
H6G84_RS12160,0,0.40881872
H6G84_RS04575,0,-0.13445252
H6G84_RS09500,0,0.13800535
H6G84_RS13220,0,0.17554499
H6G84_RS12285,0,0.16267589
H6G84_RS01315,0,0.11860535
H6G84_RS09525,0,0.3408144
H6G84_RS00560,0,0.19344346
H6G84_RS11960,0,0.36059618
H6G84_RS02020,0,0.37630698
H6G84_RS11200,0,0.1889121
H6G84_RS05575,0,0.16254438
H6G84_RS06980,0,0.38294134
H6G84_RS01390,0,0.2757185
H6G84_RS04855,1,-0.10434613
H6G84_RS05285,1,0.19575766
H6G84_RS13220,1,-0.28033012
H6G84_RS00730,1,0.12731749
H6G84_RS09525,1,-0.1596416
H6G84_RS02205,1,0.12986271
H6G84_RS05575,1,0.2579591
H6G84_RS04855,2,-0.72782266
H6G84_RS09745,2,-0.7825179
H6G84_RS05250,2,-0.30794716
H6G84_RS03180,2,0.5055538
H6G84_RS07065,2,-0.16706817
H6G84_RS12810,2,-0.16696335
H6G84_RS04225,2,-0.5053126
H6G84_RS09975,2,-0.1561373
H6G84_RS05285,2,0.97249144
H6G84_RS13220,2,0.30766755
H6G84_RS00730,2,0.37424496
H6G84_RS12560,2,0.19667278
H6G84_RS09525,2,-0.90342385
H6G84_RS00560,2,-0.19935903
H6G84_RS12975,2,0.111079164
H6G84_RS02205,2,0.34663242
H6G84_RS05575,2,0.30028296
H6G84_RS06980,2,-0.3361295
H6G84_RS01645,2,-0.16009924
H6G84_RS04855,3,-0.17222223
H6G84_RS09745,3,-0.3253172
H6G84_RS12810,3,-0.29121333
H6G84_RS12160,3,-0.5595504
H6G84_RS09500,3,-0.127745
H6G84_RS04225,3,-0.11462177
H6G84_RS05285,3,-0.31446877
H6G84_RS13220,3,-0.32194832
H6G84_RS12285,3,-0.16842793
H6G84_RS01315,3,-0.1031696
H6G84_RS00730,3,-0.15960169
H6G84_RS09525,3,-0.38960853
H6G84_RS00560,3,-0.23770212
H6G84_RS12975,3,-0.11682891
H6G84_RS02205,3,-0.16374964
H6G84_RS11960,3,-0.12770095
H6G84_RS02020,3,-0.36848474
H6G84_RS11200,3,-0.36269456
H6G84_RS05575,3,-0.43941873
H6G84_RS06980,3,-0.47784913
H6G84_RS01390,3,-0.31945574
H6G84_RS04855,5,-0.116963245
H6G84_RS09745,5,-0.26411083
H6G84_RS12160,5,-0.39449394
H6G84_RS05285,5,0.10407638
H6G84_RS13220,5,0.43745175
H6G84_RS00730,5,-0.31338248
H6G84_RS09525,5,-0.4548382
H6G84_RS11960,5,-0.34113824
H6G84_RS02020,5,-0.1206641
H6G84_RS05575,5,-0.40855047
H6G84_RS09745,6,-0.24696352
H6G84_RS03740,6,0.10578785
H6G84_RS12160,6,-0.2508244
H6G84_RS03495,6,-0.1494882
H6G84_RS05285,6,-0.16132356
H6G84_RS09205,6,0.18475214
H6G84_RS13220,6,0.35526538
H6G84_RS02710,6,0.11366513
H6G84_RS12285,6,-0.14133881
H6G84_RS10325,6,-0.12438699
H6G84_RS09525,6,-0.12545998
H6G84_RS12975,6,-0.5338292
H6G84_RS11960,6,-0.1432717
H6G84_RS12820,6,0.22964984
H6G84_RS02020,6,-0.25100848
H6G84_RS11200,6,-0.10640424
H6G84_RS05575,6,-0.14286357
H6G84_RS10655,6,0.12469369
H6G84_RS06980,6,-0.12052796
H6G84_RS01390,6,-0.10471173
H6G84_RS08975,6,-0.19956103
H6G84_RS04855,7,0.13000257
H6G84_RS09745,7,0.14205381
H6G84_RS03180,7,-0.10425532
H6G84_RS12160,7,-0.11774834
H6G84_RS04225,7,0.10216941
H6G84_RS05285,7,-0.119748354
H6G84_RS09205,7,-0.5122514
H6G84_RS13220,7,0.35018623
H6G84_RS02710,7,-0.18677552
H6G84_RS01315,7,-0.2800027
H6G84_RS05725,7,-0.116199195
H6G84_RS09525,7,0.14440486
H6G84_RS12975,7,0.13431764
H6G84_RS08525,7,-0.14934365
H6G84_RS02205,7,-0.110922925
H6G84_RS05575,7,-0.10992141
H6G84_RS10655,7,-0.3068531
H6G84_RS04855,8,0.1327959
H6G84_RS09745,8,-0.4499471
H6G84_RS08505,8,-0.13196947
H6G84_RS12810,8,-0.4163266
H6G84_RS12160,8,0.41727936
H6G84_RS04575,8,0.29299766
H6G84_RS02855,8,-0.1448722
H6G84_RS09500,8,-0.12904821
H6G84_RS05285,8,0.15563627
H6G84_RS03075,8,-0.17183538
H6G84_RS13220,8,-0.24502964
H6G84_RS12285,8,-0.229735
H6G84_RS01315,8,-0.23019516
H6G84_RS00730,8,0.16915612
H6G84_RS09525,8,0.20835556
H6G84_RS00560,8,-0.3543831
H6G84_RS08525,8,-0.13338053
H6G84_RS02205,8,0.14653179
H6G84_RS12820,8,0.3241447
H6G84_RS02020,8,-0.48719934
H6G84_RS11200,8,-0.20174268
H6G84_RS05575,8,0.3109394
H6G84_RS10655,8,-0.15822917
H6G84_RS06980,8,-0.4936098
H6G84_RS01645,8,-0.21456675
H6G84_RS01390,8,-0.42446506
H6G84_RS04855,10,-0.16133653
H6G84_RS09745,10,-0.1517542
H6G84_RS12160,10,-0.7533573
H6G84_RS04575,10,-0.12400961
H6G84_RS10470,10,-0.11388046
H6G84_RS09500,10,-0.11006541
H6G84_RS09205,10,0.16397439
H6G84_RS12550,10,0.11460218
H6G84_RS01315,10,0.15784809
H6G84_RS00730,10,-0.14065291
H6G84_RS09525,10,-0.69659096
H6G84_RS08885,10,-0.11782693
H6G84_RS12975,10,-0.27181238
H6G84_RS11960,10,-0.508827
H6G84_RS11200,10,-0.49660406
H6G84_RS05575,10,-0.2660544
H6G84_RS10655,10,0.11242731
H6G84_RS08975,10,-0.20735332
H6G84_RS09745,11,-0.567306
H6G84_RS07065,11,0.19487888
H6G84_RS12810,11,-0.23981361
H6G84_RS12160,11,0.24110645
H6G84_RS09500,11,-0.23889461
H6G84_RS05285,11,0.71074456
H6G84_RS13220,11,0.49146935
H6G84_RS12285,11,-0.2791102
H6G84_RS09525,11,-0.48404294
H6G84_RS00560,11,-0.21165098
H6G84_RS02205,11,0.122430034
H6G84_RS11960,11,-0.5022106
H6G84_RS02020,11,-0.3534374
H6G84_RS11200,11,0.37222046
H6G84_RS06980,11,-0.33939305
H6G84_RS01390,11,-0.22804193
H6G84_RS08975,11,-0.122527786
H6G84_RS09745,12,0.13307336
H6G84_RS12160,12,-0.6297746
H6G84_RS10470,12,-0.15498833
H6G84_RS05285,12,-0.39735705
H6G84_RS00730,12,-0.22501974
H6G84_RS05725,12,-0.16491717
H6G84_RS02205,12,-0.17481028
H6G84_RS12820,12,-0.11066645
H6G84_RS11200,12,-0.32854998
H6G84_RS05575,12,-0.5349404
H6G84_RS04855,13,0.17735174
H6G84_RS03740,13,0.10567207
H6G84_RS03180,13,-0.10379317
H6G84_RS12810,13,-0.1303719
H6G84_RS04575,13,0.24841025
H6G84_RS04225,13,0.12462285
H6G84_RS05285,13,-0.19261573
H6G84_RS09205,13,-0.21000625
H6G84_RS03075,13,-0.14587729
H6G84_RS13220,13,0.14398645
H6G84_RS01315,13,-0.26624912
H6G84_RS12560,13,-0.100765295
H6G84_RS09525,13,0.32194528
H6G84_RS08525,13,-0.10814384
H6G84_RS11960,13,0.20912789
H6G84_RS12820,13,0.15277986
H6G84_RS02020,13,-0.32071337
H6G84_RS05575,13,-0.1371535
H6G84_RS10655,13,-0.16276576
H6G84_RS06980,13,-0.16635607
H6G84_RS01390,13,-0.20952842
H6G84_RS09745,14,0.25643507
H6G84_RS12160,14,-0.2842055
H6G84_RS05285,14,-0.3399852
H6G84_RS09205,14,-0.14558892
H6G84_RS13220,14,0.23636293
H6G84_RS00730,14,-0.22075652
H6G84_RS09525,14,0.1417116
H6G84_RS12975,14,0.16912517
H6G84_RS02205,14,-0.22653607
H6G84_RS12820,14,-0.10094148
H6G84_RS05575,14,-0.41083035
H6G84_RS03740,15,0.13078597
H6G84_RS12160,15,0.16200808
H6G84_RS13220,15,0.20476551
H6G84_RS04855,16,-0.15861534
H6G84_RS09745,16,-0.213127
H6G84_RS09500,16,-0.20999253
H6G84_RS05285,16,0.3220042
H6G84_RS09205,16,0.1883515
H6G84_RS13220,16,-0.26300567
H6G84_RS05575,16,0.15854669
H6G84_RS03740,17,0.10802458
H6G84_RS12160,17,-0.49857727
H6G84_RS05285,17,-0.36303607
H6G84_RS13220,17,0.13925388
H6G84_RS00730,17,-0.24918322
H6G84_RS02205,17,-0.21496241
H6G84_RS05575,17,-0.5842919
H6G84_RS09745,18,0.2485602
H6G84_RS12810,18,0.2314005
H6G84_RS12160,18,-0.13546494
H6G84_RS09205,18,0.26434693
H6G84_RS03075,18,0.12046667
H6G84_RS13220,18,0.2749326
H6G84_RS02710,18,0.1485462
H6G84_RS12285,18,0.16148175
H6G84_RS01315,18,0.27495855
H6G84_RS00730,18,-0.22567713
H6G84_RS09525,18,-0.10023617
H6G84_RS00560,18,0.1808134
H6G84_RS08525,18,0.1551009
H6G84_RS02205,18,-0.116885774
H6G84_RS02020,18,0.3072188
H6G84_RS05575,18,-0.31561726
H6G84_RS10655,18,0.22846967
H6G84_RS06980,18,0.3198355
H6G84_RS01390,18,0.21093577
H6G84_RS09745,21,0.3883734
H6G84_RS12160,21,-0.25575078
H6G84_RS09500,21,0.22195663
H6G84_RS05285,21,-0.7333568
H6G84_RS13220,21,-0.32968968
H6G84_RS09525,21,0.10302728
H6G84_RS02205,21,-0.19971673
H6G84_RS11960,21,0.20610283
H6G84_RS05575,21,-0.27846545
H6G84_RS06980,21,0.13741823
H6G84_RS01390,21,0.11231366
H6G84_RS08975,21,0.113229446
H6G84_RS12485,23,-0.27584556
H6G84_RS03740,23,1.0713965
H6G84_RS12160,23,-0.45841506
H6G84_RS11420,23,0.12421576
H6G84_RS13220,23,2.5025346
H6G84_RS02765,23,-0.18474063
H6G84_RS08765,23,-0.14513777
H6G84_RS03360,23,-0.10537495
H6G84_RS11960,23,-0.30051777
H6G84_RS12820,23,-0.13374014
H6G84_RS04975,23,0.726195
H6G84_RS03975,23,-0.21324891
H6G84_RS04855,24,-0.120650925
H6G84_RS09745,24,-0.52220076
H6G84_RS05285,24,0.6662577
H6G84_RS13220,24,0.31747273
H6G84_RS09525,24,-0.45723143
H6G84_RS02205,24,0.1397201
H6G84_RS11960,24,-0.26409772
H6G84_RS12820,24,0.1267887
H6G84_RS02020,24,-0.15968087
H6G84_RS06980,24,-0.16621347
H6G84_RS09745,25,0.74451834
H6G84_RS03740,25,0.114220574
H6G84_RS08505,25,0.12509525
H6G84_RS12810,25,0.56514186
H6G84_RS04575,25,-0.16065945
H6G84_RS02855,25,0.116309315
H6G84_RS09500,25,0.2569279
H6G84_RS05285,25,-0.11749562
H6G84_RS13220,25,0.33221492
H6G84_RS12285,25,0.29310885
H6G84_RS01315,25,0.17572749
H6G84_RS09525,25,0.26182592
H6G84_RS00560,25,0.44197294
H6G84_RS11960,25,0.3926995
H6G84_RS12820,25,-0.14327286
H6G84_RS02020,25,0.7181886
H6G84_RS11200,25,0.110201985
H6G84_RS10655,25,0.14299805
H6G84_RS06980,25,0.719056
H6G84_RS01645,25,0.21093045
H6G84_RS01390,25,0.58659804
H6G84_RS12555,25,-0.18919687
H6G84_RS04855,26,-0.20240529
H6G84_RS02260,26,-0.10021369
H6G84_RS03180,26,0.11546404
H6G84_RS12160,26,-0.6181639
H6G84_RS03615,26,-0.10835025
H6G84_RS03495,26,-0.11330941
H6G84_RS04575,26,-0.22610448
H6G84_RS10470,26,-0.24520372
H6G84_RS09500,26,-0.10071823
H6G84_RS04225,26,-0.1419921
H6G84_RS09975,26,-0.10573218
H6G84_RS05285,26,-0.31658953
H6G84_RS13220,26,0.18163194
H6G84_RS08775,26,-0.10665429
H6G84_RS12285,26,-0.10195176
H6G84_RS00730,26,-0.16200027
H6G84_RS05725,26,-0.109869815
H6G84_RS12975,26,-0.23384817
H6G84_RS02205,26,-0.10124476
H6G84_RS11960,26,-0.22953653
H6G84_RS12820,26,-0.1306559
H6G84_RS11200,26,-0.3889213
H6G84_RS05575,26,-0.2979118
H6G84_RS02410,26,-0.15880652
H6G84_RS08975,26,-0.24212714
H6G84_RS04855,27,-0.1848612
H6G84_RS03180,27,0.13289379
H6G84_RS04225,27,-0.14227803
H6G84_RS05285,27,0.25051218
H6G84_RS13220,27,-0.24358961
H6G84_RS00730,27,0.13331643
H6G84_RS02205,27,0.11134717
H6G84_RS05575,27,0.24765445
H6G84_RS12160,28,0.29176286
H6G84_RS00730,28,0.17810026
H6G84_RS09525,28,0.2883148
H6G84_RS11960,28,0.362729
H6G84_RS05575,28,0.24881235
H6G84_RS09745,29,0.2035184
H6G84_RS12160,29,-0.5933875
H6G84_RS03615,29,-0.15599556
H6G84_RS10470,29,-0.22888416
H6G84_RS05285,29,-0.4687359
H6G84_RS08775,29,-0.18970262
H6G84_RS00730,29,-0.22543254
H6G84_RS05725,29,-0.22412245
H6G84_RS08885,29,-0.1061677
H6G84_RS02205,29,-0.17575818
H6G84_RS11960,29,0.105252996
H6G84_RS12820,29,-0.14161171
H6G84_RS11200,29,-0.34706312
H6G84_RS05575,29,-0.48473313
H6G84_RS08975,29,-0.14218365
H6G84_RS04855,30,0.16584116
H6G84_RS09745,30,0.14025743
H6G84_RS03180,30,-0.101809844
H6G84_RS04225,30,0.112712696
H6G84_RS05285,30,-0.22258605
H6G84_RS09205,30,-0.19187187
H6G84_RS01315,30,-0.10836582
H6G84_RS05575,30,-0.16658708
H6G84_RS04855,31,0.36475605
H6G84_RS05250,31,0.1383839
H6G84_RS03180,31,-0.26952145
H6G84_RS07065,31,0.101722166
H6G84_RS12160,31,0.29651904
H6G84_RS03495,31,-0.15796639
H6G84_RS04575,31,0.14619692
H6G84_RS10470,31,0.12316745
H6G84_RS09500,31,-0.10512553
H6G84_RS04225,31,0.28964344
H6G84_RS09975,31,0.15494435
H6G84_RS12045,31,0.12334675
H6G84_RS09205,31,0.30217448
H6G84_RS13220,31,0.2793618
H6G84_RS02710,31,0.14358619
H6G84_RS01315,31,0.18067214
H6G84_RS00730,31,-0.2136166
H6G84_RS05725,31,0.13897468
H6G84_RS12560,31,-0.120148756
H6G84_RS12975,31,-0.4004892
H6G84_RS08525,31,0.117835976
H6G84_RS12820,31,0.27650526
H6G84_RS02020,31,-0.1907073
H6G84_RS10655,31,0.1804588
H6G84_RS01390,31,-0.101601854
H6G84_RS08975,31,-0.17483859
H6G84_RS04855,32,-0.27242428
H6G84_RS09745,32,-0.24422579
H6G84_RS03740,32,-0.11680735
H6G84_RS03180,32,0.1583659
H6G84_RS12810,32,-0.22553706
H6G84_RS12160,32,-0.3733348
H6G84_RS09500,32,-0.13175248
H6G84_RS04225,32,-0.19895102
H6G84_RS09205,32,-0.17934102
H6G84_RS13220,32,-0.39921984
H6G84_RS12285,32,-0.12988213
H6G84_RS01315,32,-0.11731716
H6G84_RS09525,32,-0.40423396
H6G84_RS00560,32,-0.19192432
H6G84_RS12975,32,0.18749325
H6G84_RS12820,32,-0.10602583
H6G84_RS02020,32,-0.15707594
H6G84_RS11200,32,-0.18871178
H6G84_RS05575,32,-0.10459815
H6G84_RS10655,32,-0.14786734
H6G84_RS06980,32,-0.34206074
H6G84_RS01645,32,-0.1390784
H6G84_RS01390,32,-0.22232692
H6G84_RS04855,33,-0.14074993
H6G84_RS09745,33,0.23529273
H6G84_RS05250,33,-0.10229429
H6G84_RS03180,33,0.25363076
H6G84_RS12810,33,0.20750546
H6G84_RS12160,33,0.14887062
H6G84_RS04575,33,-0.108846426
H6G84_RS04225,33,-0.12469262
H6G84_RS05285,33,0.19452475
H6G84_RS13220,33,-0.52206093
H6G84_RS00730,33,0.1380467
H6G84_RS00560,33,0.19872764
H6G84_RS12975,33,0.21590196
H6G84_RS11960,33,0.16333303
H6G84_RS12820,33,-0.112390965
H6G84_RS02020,33,0.38834098
H6G84_RS11200,33,-0.17165734
H6G84_RS05575,33,0.3085171
H6G84_RS06980,33,0.3958773
H6G84_RS01645,33,0.12969944
H6G84_RS01390,33,0.3312611
H6G84_RS04855,35,0.184392
H6G84_RS03180,35,-0.107841894
H6G84_RS12160,35,0.19721043
H6G84_RS04225,35,0.14369026
H6G84_RS05285,35,0.36655143
H6G84_RS00730,35,-0.11192842
H6G84_RS09525,35,0.14546023
H6G84_RS11200,35,0.29843572
H6G84_RS04855,36,0.18274817
H6G84_RS09745,36,-0.14388335
H6G84_RS05250,36,0.13792463
H6G84_RS03180,36,-0.14497174
H6G84_RS12160,36,-0.24661088
H6G84_RS03615,36,0.12440348
H6G84_RS04575,36,0.15598293
H6G84_RS04225,36,0.1708866
H6G84_RS09975,36,0.12538685
H6G84_RS05285,36,0.25260058
H6G84_RS13220,36,0.9860134
H6G84_RS12550,36,0.13089886
H6G84_RS12285,36,0.13303326
H6G84_RS01315,36,0.11117524
H6G84_RS00730,36,-0.424681
H6G84_RS12560,36,-0.14816694
H6G84_RS09525,36,-0.3882013
H6G84_RS12975,36,0.22035086
H6G84_RS02205,36,-0.29595706
H6G84_RS11960,36,-0.3849801
H6G84_RS05575,36,-0.43464586
H6G84_RS04855,37,0.326304
H6G84_RS05250,37,0.15594196
H6G84_RS03180,37,-0.28870398
H6G84_RS12810,37,-0.28666744
H6G84_RS12160,37,0.12071647
H6G84_RS04575,37,0.23195451
H6G84_RS09500,37,-0.10616271
H6G84_RS04225,37,0.26174122
H6G84_RS09975,37,0.118585594
H6G84_RS05285,37,-0.19841965
H6G84_RS09205,37,-0.10497725
H6G84_RS03075,37,-0.15769804
H6G84_RS13220,37,0.21189691
H6G84_RS12285,37,-0.16340183
H6G84_RS01315,37,-0.12911339
H6G84_RS12560,37,-0.17106724
H6G84_RS09525,37,0.5160127
H6G84_RS00560,37,-0.25380695
H6G84_RS12975,37,0.15316032
H6G84_RS12820,37,0.13812032
H6G84_RS02020,37,-0.39408845
H6G84_RS10655,37,-0.12918596
H6G84_RS06980,37,-0.31328896
H6G84_RS01390,37,-0.3846867
H6G84_RS09525,38,-0.12514268
H6G84_RS11960,38,-0.14354326
H6G84_RS04855,40,-0.32616588
H6G84_RS09745,40,-0.4761134
H6G84_RS03180,40,0.2234514
H6G84_RS12160,40,-0.113171875
H6G84_RS04225,40,-0.15037769
H6G84_RS05285,40,0.6702289
H6G84_RS13220,40,0.60802495
H6G84_RS00730,40,-0.17914253
H6G84_RS09525,40,-0.7595274
H6G84_RS02205,40,0.13076404
H6G84_RS11960,40,-0.15795156
H6G84_RS05575,40,-0.16362648
H6G84_RS04855,41,0.27991474
H6G84_RS09745,41,-0.20224446
H6G84_RS03740,41,0.11892738
H6G84_RS05250,41,0.16419296
H6G84_RS03180,41,-0.256433
H6G84_RS07065,41,-0.1900459
H6G84_RS12160,41,-0.10839376
H6G84_RS03615,41,0.103708595
H6G84_RS04575,41,0.18268616
H6G84_RS10470,41,0.12185272
H6G84_RS09500,41,0.20308982
H6G84_RS04225,41,0.25914302
H6G84_RS09975,41,0.15505114
H6G84_RS05285,41,0.29298443
H6G84_RS13220,41,0.40842703
H6G84_RS12285,41,0.15413752
H6G84_RS01315,41,0.14048353
H6G84_RS00730,41,-0.1746283
H6G84_RS12560,41,-0.19685082
H6G84_RS12975,41,-0.34165797
H6G84_RS08525,41,0.1421178
H6G84_RS12820,41,0.1884559
H6G84_RS02020,41,-0.24728824
H6G84_RS10655,41,0.15508416
H6G84_RS06980,41,-0.12147148
H6G84_RS01390,41,-0.23398152
H6G84_RS12160,42,0.72275627
H6G84_RS03615,42,0.11418479
H6G84_RS10470,42,0.166134
H6G84_RS05285,42,0.350039
H6G84_RS08775,42,0.1469048
H6G84_RS00730,42,0.26539135
H6G84_RS05725,42,0.16467313
H6G84_RS08885,42,0.107807375
H6G84_RS02205,42,0.2110924
H6G84_RS11200,42,0.27360192
H6G84_RS05575,42,0.5855585
H6G84_RS08975,42,0.111316375
H6G84_RS13220,43,0.10226042
H6G84_RS04855,44,0.19200994
H6G84_RS09745,44,0.10547438
H6G84_RS05250,44,0.10700232
H6G84_RS03180,44,-0.1651775
H6G84_RS12160,44,-0.61075366
H6G84_RS03495,44,-0.12013712
H6G84_RS04225,44,0.13113898
H6G84_RS05285,44,-1.1780434
H6G84_RS13220,44,0.539401
H6G84_RS12285,44,-0.12795857
H6G84_RS00730,44,-0.49883017
H6G84_RS12560,44,-0.11043714
H6G84_RS09525,44,0.2691592
H6G84_RS12975,44,-0.4291668
H6G84_RS02205,44,-0.62849444
H6G84_RS02020,44,-0.3227451
H6G84_RS11200,44,-0.12850237
H6G84_RS05575,44,-0.9313711
H6G84_RS06980,44,-0.19698203
H6G84_RS01390,44,-0.20246044
H6G84_RS12810,45,-0.14142455
H6G84_RS12160,45,-0.15655121
H6G84_RS03495,45,-0.15278147
H6G84_RS05285,45,-1.0860587
H6G84_RS09205,45,-0.12673731
H6G84_RS13220,45,-0.3297495
H6G84_RS12285,45,-0.11249947
H6G84_RS01315,45,-0.110680215
H6G84_RS00730,45,0.16946541
H6G84_RS09525,45,0.16904674
H6G84_RS00560,45,-0.15131904
H6G84_RS12975,45,-0.10378243
H6G84_RS02205,45,-0.14689738
H6G84_RS11960,45,0.17081532
H6G84_RS02020,45,-0.16510797
H6G84_RS11200,45,-0.15688224
H6G84_RS05575,45,-0.1903627
H6G84_RS10655,45,-0.10278878
H6G84_RS06980,45,-0.36194372
H6G84_RS01390,45,-0.14687009
H6G84_RS09745,46,-0.5868947
H6G84_RS03740,46,0.114669904
H6G84_RS12810,46,-0.21308023
H6G84_RS12160,46,0.1861098
H6G84_RS04575,46,0.19020514
H6G84_RS05285,46,0.39012203
H6G84_RS13220,46,0.28517866
H6G84_RS12285,46,-0.11451362
H6G84_RS01315,46,-0.107877
H6G84_RS09525,46,-0.29936212
H6G84_RS00560,46,-0.14529411
H6G84_RS11960,46,-0.30863056
H6G84_RS12820,46,0.21257819
H6G84_RS02020,46,-0.4328027
H6G84_RS11200,46,0.12535249
H6G84_RS06980,46,-0.30848277
H6G84_RS01390,46,-0.26827794
H6G84_RS13220,47,-0.14976749
H6G84_RS04855,48,-0.3063674
H6G84_RS09745,48,-0.42671332
H6G84_RS03180,48,0.12225795
