Q31LU5	Q31PC1	Q31NZ1	Q31R70	Q31RZ4
Q03513	Q31NB3	Q31NB2	Q31Q05
Q9Z3G5	Q31PQ2	Q31LP4	Q8GJM0	Q31PN3	Q31MG8	Q31MI8
P55020	Q31LP0	Q31NA5
O33698	Q31KE9	Q31QE3	P31160	P63200	Q31K30	Q31K59	Q31KV8	Q31L07	Q31L08	Q31L10	Q31L11	Q31L12	Q31L13	Q31L16	Q31L19	Q31L20	Q31L21	Q31L23	Q31L28	Q31L30	Q31L34	Q31LX8	Q31MB7	Q31N17	Q31N52	Q31P66	Q31PL2	Q31PV3	Q31PV6	Q31QK4	Q31SC5	Q79PF4	Q9Z3H5	Q31L15	P42079	Q31QK6	Q9R6W2	Q31K48	Q31L09	Q31L17	Q31L18	Q31L22	Q31L29	Q31L31	Q31L33	Q31NR2	Q31QK3	Q79AV0	Q31L35	Q31NR1	Q31RE0	Q31P67
P12243	P06539	O85785	P33171	Q31RI7	Q31P73
O50209	P06539	P13530	Q31KE0	Q31LK8	Q31LK9	Q31N86	Q31PD8	Q31PD9	Q31Q37	Q31Q65	Q31QD7	Q31RF9	Q31RG0	Q31RG1	Q31RG2	Q31RP7	Q44115	Q44116	Q9Z3G5	Q31KS4	Q31S39
Q31QV2	P10340	P15347	P95822	P95823	Q31LJ0	Q31LJ1	Q31NL7	Q31NT9	Q31NU0	Q31PI7	Q31PR9	P11005	Q31N64	Q8KPT7	Q935X4	Q31KR3	Q31KR8
Q31R92	P30008	Q31ML1	Q31PT8
Q31NV7	Q31RF1	Q8GIS4	Q31ME6	Q31QV2	Q31RF4	Q31ML0	Q31RF3	P11004	P31094	Q31LJ0	Q31LJ1	Q31NT9	Q31PI7	P11005	P11472	Q31MS2	Q31NL0	Q31P08	Q31PP7	Q31QF5	Q31RA2	Q31RE4	Q31RJ0	Q31RZ5	Q31M07
O34209	P22879	P50020	P50022	P53533	Q31LG5
Q31QZ9	Q31QF2	O34209	P21577	Q31QL4	Q31MH0	Q55041	Q31NI7
Q31PZ6	Q31N34	Q31JX7	Q31S25
P16954	Q31P93	Q31P62	P16891	Q31KI0	Q31MF2	Q31N34	Q31NF6	Q31QQ3	Q31RK5	Q31LW9	Q31MF4	Q31NQ0
O06865	P43087	Q31KE9	Q59984	Q79N42	Q7X4K8	Q31NC9	Q31SB9	P74764	Q31PW3
Q31KQ9	Q31QL7	Q31M23	Q8KPS9	Q31R79	Q54764
Q31KE9	Q31L30	Q31N15	Q31N17	P11472	P42079	Q31L83	Q31MH9	Q935Y7
Q31LY1	Q31ME6	Q31L05	Q31NJ5	Q31P07	Q31P08	Q8GIT3	Q31LQ7	Q8VPV6	Q31NE2	Q8KPP5
Q31M58	Q31QY2	Q31RG0	Q31RG1	Q31RP7	Q8VW88	Q31PL1	Q31QJ2	Q03511	Q31LE9
Q31KP3	Q31KK9	Q31LF2	Q31N58
Q31RM5	Q31P52	Q31RM7	Q31K19
O06865	P43087	P50021	Q31KE9	Q59984	Q79N42	Q7X4K8	Q31MY7	Q31QJ8	Q31NC9
Q9L4P4	Q31QU9	Q31PS0	Q31S19	Q31QV0	Q8KPQ0
Q31KN1	Q31LV2	Q31NF4	Q31Q67
Q31MQ3	P32084	Q31KS8	Q31L26	Q31M29	Q31PK1	Q31KN1	Q31QV6	Q31S42	Q31Q19
P16954	Q31KF2	Q31PU9	Q31QQ0	Q31QU9	Q31PT6	Q31LT0	Q31QC6	Q31QL9
O50209	P06539	P13530	Q31KE0	Q31LK9	Q31NV7	Q31PD8	Q31PD9	Q31RF1	Q31RF9	Q31RG1	Q31RP7	Q44115	Q44116	Q9Z3G5	P0A2Z8	Q31KS4	Q31QV2	Q31RF4	Q31RF0	Q31RF3	Q31P52
Q31NJ7	Q31SC8	Q54734	Q31NS1	Q31PI6
