O05161	P16954	0.651
O05161	Q31KN7	0.595
O05161	Q31LJ5	0.694
O05161	Q31LM9	0.639
O05161	Q31N38	0.647
O05161	Q31P93	0.636
O05161	Q31QK5	0.73
O05161	Q935Z3	0.675
O06865	O33698	0.628
O06865	P12243	0.718
O06865	P16954	0.665
O06865	P43087	0.811
O06865	P50021	0.795
O06865	Q31KE9	0.716
O06865	Q31L59	0.776
O06865	Q31LJ5	0.737
O06865	Q31LM4	0.618
O06865	Q31LM9	0.75
O06865	Q31N38	0.749
O06865	Q31N85	0.693
O06865	Q31P46	0.698
O06865	Q31P47	0.677
O06865	Q31QE3	0.689
O06865	Q31QK5	0.76
O06865	Q31QZ9	0.633
O06865	Q54705	0.707
O06865	Q54709	0.738
O06865	Q59984	0.835
O06865	Q79N42	0.618
O06865	Q7X4K8	0.714
O07345	Q31PH5	0.664
O32463	Q31KH4	0.772
O32463	Q31LH6	0.725
O32463	Q31MT0	0.761
O32463	Q31PF2	0.699
O32463	Q31PY5	0.729
O32463	Q31PZ6	0.767
O32463	Q31QT5	0.752
O32463	Q31RM5	0.63
O32463	Q8GMR3	0.717
O32463	Q935Y4	0.633
O33698	P31160	0.666
O33698	P43087	0.584
O33698	P50021	0.736
O33698	P63200	0.781
O33698	Q31K30	0.641
O33698	Q31K59	0.948
O33698	Q31KE9	0.788
O33698	Q31KF2	0.693
O33698	Q31KV8	0.796
O33698	Q31L07	0.657
O33698	Q31L08	0.696
O33698	Q31L10	0.716
O33698	Q31L11	0.897
O33698	Q31L12	0.592
O33698	Q31L13	0.93
O33698	Q31L16	0.928
O33698	Q31L19	0.839
O33698	Q31L20	0.915
O33698	Q31L21	0.719
O33698	Q31L23	0.836
O33698	Q31L28	0.966
O33698	Q31L30	0.763
O33698	Q31L34	0.942
O33698	Q31L59	0.638
O33698	Q31LJ5	0.625
O33698	Q31LU5	0.7
O33698	Q31LX8	0.651
O33698	Q31M58	0.604
O33698	Q31MB5	0.793
O33698	Q31MB6	0.629
O33698	Q31MB7	0.782
O33698	Q31N15	0.648
O33698	Q31N17	0.632
O33698	Q31N38	0.762
O33698	Q31N52	0.921
O33698	Q31P66	0.814
O33698	Q31PL2	0.802
O33698	Q31PL8	0.673
O33698	Q31PV3	0.908
O33698	Q31PV6	0.848
O33698	Q31QE3	0.93
O33698	Q31QF2	0.648
O33698	Q31QK4	0.715
O33698	Q31QK5	0.849
O33698	Q31QY2	0.624
O33698	Q31QZ9	0.642
