,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
H6G84_RS00005,-0.015005770322458598,-0.011279087523217908,0.0003156985547273718,-0.0019305780238604835,0.005099118489597045,-0.00934516342860638,-0.009983172331574886,0.007510544846918592,-0.0015075983340702365,0.005517149929453171,0.0037839627589149267,0.009460118836685003,-0.0031045128589453925,0.004535017938985794,0.014571843133946745,0.0009082283120739321,0.0059544333448310095,-0.013788340288904244,0.00930163143801476,0.01674449342660874,0.005823157999132153,-0.009098149803907572,0.03460773984884644,-0.008846402350068417,-0.016459923420125543,-0.003540651026787241,0.0020603843137509993,0.0022416795508126424,0.010674961898372127,0.037896016432071654,-0.00021067507590945657,0.004155843536671654,0.013623613765950488,0.010883033072717041,0.005337811027176496,0.003712722764924026,-0.0061974699014335785,0.00027102317974110856,0.015542961351732703,-0.0030131362495101595,-0.000634716525048579,0.011112082073419788,-0.007154546106420988,0.006270380095915122,-0.007326384072997597,-0.005932195219032776,-0.017531360464365108,-0.02613838199723411,-0.004773374458891986,0.01592441659380143,-0.009117862155762553,0.025692017098173304,-0.0077977998071833,-0.014050324696375542,-0.029801676524672985,-0.01096602124414318,0.0011117044024729931,-0.006695003392035044,0.023811761812822328
H6G84_RS00010,0.011100626744853046,-0.021771252991068468,0.012202409162199916,0.0037265259274451784,-0.029599310496650242,-0.0074113295758689805,-0.025556938072442734,0.00900452320638972,0.003974121851181844,0.0008360749012964482,0.0013160591534684654,0.013730405372429559,-0.014570264627122695,-0.0008291550240909122,0.016149721746826856,0.019904027908964585,0.00917678913666155,-0.04468708752235944,-0.006731242794315742,-0.016242892097046168,0.03401264819163021,-0.016037027297884993,-0.014864700736270425,0.005278656478055661,-0.03070083204417103,0.011332168387436196,0.004270535962880544,-0.015223604375900961,0.01142625918045259,-0.0038740104549682226,0.00023476510565549846,0.013045873385925914,-0.0005747259163709573,0.031652843339579094,0.005393555455188535,-0.0029812663191897066,-0.05599980836880289,-0.019722499385524842,-0.022552883917570443,0.028548460430015264,-0.00795868873254858,-0.0024951156920356215,-0.023796759848774815,0.022119341780602767,0.005272553857376298,0.008127975023781837,0.007648946668937594,-0.03001376027989864,0.0007168433844228631,0.05121711714972111,0.036026393065039186,0.009417584016041106,0.01657995273859663,0.0016876986163276658,-0.025649799096875172,0.0025331807900474,-0.003167027586703169,0.005007573848669551,0.015497355374010433
H6G84_RS00015,-0.0013234793517200119,0.00966790617900037,0.023715029262740907,-0.01745924965614873,0.0012101792067935014,-0.005940361844892705,0.006285637601612366,0.00011577771151158564,-0.018134332596109585,0.02355687373920893,0.002305998633025061,0.005545566386720491,0.0005180609958026136,0.034533207936312975,-0.00521490069425713,0.01201184396445143,-0.005794056984535346,0.009885365628465155,0.01705816763703119,0.04389400628124151,-0.00346688191419253,-0.0036357282730788507,-0.004216773332030167,0.004107928237424841,-0.010238459254693012,-0.0005959585902205624,0.013933142165138534,-0.00931688413202789,0.001829291961585981,0.002694061000656982,0.0005264457764454284,0.006700018054585036,-0.011056820271534146,0.008782628100812236,-0.030520062623992355,0.03559810828419617,-0.011975636476576068,-0.007544541971979265,0.01503013147747273,-0.0009466812557129976,-0.00833919847918929,-0.012821658297481829,-0.01084252277223696,0.001425467708171002,0.014446437418832874,0.013151701584029724,-0.015116337868604437,-0.005480533660192136,-0.004471366932579876,0.014457242912264951,0.009492768201637252,-0.0012911861267727786,0.012368456730743181,-0.028806839154669053,-0.025924418236186263,0.0022542752651648766,0.011192728824309864,-0.03397055321831989,-0.00469817893055783
H6G84_RS00020,-0.008895902472858177,-0.023690653832291405,0.2360656234294395,0.005145968559976392,0.03429423739839303,0.0077450984049237,0.002403524969801965,-0.003189958822729886,0.016646762353138164,0.014817564077535388,-0.026659057976398396,-0.0043486363349261115,-0.026859677666560312,-0.011003601529030366,0.0016638762499045603,0.012853945014960066,-0.009548457665919273,0.0013532784351221803,0.0210504113243461,0.011193059608621323,0.028055428531933456,0.03764873462926338,-0.012788581939100558,-0.006238349016754007,-0.01257626015087667,-0.00361008027729425,0.0010699794079327668,0.014845886875120728,-0.02750617251519878,-0.007420547745726995,-0.02057955069489837,-0.007937702869381981,-0.006819356327263972,0.006952546763197744,-0.004974953332878325,0.019084393158181872,-0.022399417204104325,-0.016914804069951793,-0.010342555611651398,0.0037644758716715515,0.015001645650511519,0.018229511928651927,0.01713387153889499,0.037608334523270365,-0.025152102944949503,0.027880755324271055,-0.01941447741242426,0.01718154666911005,-0.014302490385055813,0.01601157582100384,0.018962151891191048,0.005640686098133872,-0.01012963468534128,0.0001831905354552266,-0.03252318153194279,0.004852813334602983,-0.013893001102378785,-0.0017954798444461376,0.01519317201368323
H6G84_RS00025,-0.002914847312731869,-0.015501065892450141,0.0708412280311546,0.017624022617064212,-0.013292341230175385,0.0035846353516328045,0.0036894671161608454,-0.013343452391437815,-0.002248200409822426,-0.014647307398022818,0.001110891108901445,-0.015658167616755522,-0.008495215630911646,0.013935151668460715,-0.0053442082449163975,0.010425628875939437,-0.008203020315449195,0.0038718247981899914,-0.01155071303390303,0.0038437694979969964,0.007778250639283002,-0.003196795394083281,0.009974924529596542,-0.0005630021746134718,-0.017264854928142122,-0.011799672046859227,-0.0033517428759008653,0.011431215145635968,-0.022236773744339983,0.0059188671744563855,0.0009075984046300614,-0.014674038150546858,-0.008675333028235447,0.001370132384527053,0.00234410704175567,0.0008538098230580374,-0.015200126730391096,-0.004779438130781032,0.006439795701560589,0.004477928768100456,0.008995544243067494,-0.0010903240923486944,0.005389525888350332,-0.0013933610353922892,-0.009802231980687413,0.0021260153997889296,-0.012940910834608974,-0.005448081255119194,0.00580955581793597,-0.000122409906557115,-0.02942334354544193,0.0045785019163729025,0.01365545854383355,0.002814748402991673,-0.016346575225010845,0.020230091288510225,0.01621373098428851,-0.005156963159452683,-0.0062476354775401
H6G84_RS00030,-0.007250439018790205,-0.009158982726468607,-0.002055943973656139,-0.008084585761062978,-0.004006290612645622,-0.0023021063510022598,0.008060269079104078,-0.0005012563046226205,0.01082655150193288,-0.005715662196520376,-0.0011913249419750627,-0.02233002295842278,0.010083273403495813,0.008469272952717053,0.006826360804171063,0.006587962611659368,-0.0013019109434388421,0.019561583567095017,0.026077702110926682,-0.011680840377670138,-0.024840473901797264,-0.007588019330073917,-0.018297358294221123,-0.003066048943905059,0.003435452425101256,0.005843786501357922,0.0023879790459117598,-0.020355157494199794,-0.009361446786554005,0.0017052200489309527,0.0018373364198790534,-0.0009556384838059438,0.0018748363775203788,0.01798287084183957,0.005183959406834706,0.005007004765537056,-0.0165031467592403,-0.0027275356079497558,-0.007642801064391177,-0.01152355814424102,-0.00730561053290448,-0.0061835923413454,-0.0017280272294082103,0.0026343894430946846,0.02055247037920708,0.004208942669364134,-0.014665212137991808,-0.00637117257170937,-0.005323337910792812,-0.0118748918122371,-0.013222754863731232,0.0005300465340291154,-0.012454361934694758,0.036308520229112816,-0.0038466228030339237,0.0018640296600940765,0.020095857818700387,0.00806100239595861,0.003985610670066962
H6G84_RS00035,-0.0009852189903659769,-0.008674369355095354,-0.008358479545398938,0.012492407446842341,0.005671510310183239,0.004587029869518761,0.018803714510461388,-0.0011135951014793909,-0.00440273979747164,-0.011823137287842607,-0.008868116425744943,-0.0150618604613921,0.0029328841104325327,0.01590150906904568,0.026232402740508146,-0.0028884967637941568,-0.017650553748963575,-0.024375507896234355,-0.03577245104611212,-0.005783652650430645,-0.0008732878509013919,-0.025298356550455557,0.009595953213098772,0.002031741812975716,-0.013820767099688616,0.018901099923322187,0.00866233749521911,0.0019094701519379261,0.0070570897045917555,0.004830577697715663,-0.002621161969010222,0.022733267853425797,0.0061465423774066195,0.004042271845648078,0.00012942445055700167,0.004771497338675978,-0.009411938699916331,0.004998592031252357,0.006055584053339947,-0.02849017533095054,-0.007455223134603684,-0.005914051932776681,-0.001773913006952637,0.02570393041391112,-0.0033669104744087266,-0.007472814594552928,-0.027103418055515034,-0.00851610822560321,-0.00797741148821379,0.024149393003352976,-0.00513081902579746,-0.00020496636273731615,-0.007106437902199173,0.015726666322705214,-0.0202046131073649,0.009741310341054583,-0.009838952893856737,-0.011169648853937111,0.019402907044808806
H6G84_RS00040,-0.005898297353628029,0.005309388824540313,-0.008811400676870635,-0.01330022111716118,-0.0029085427806355055,0.010244847273355806,-0.019419808105291505,-0.014792805822752424,-0.006316463930645927,-0.01393020631650967,-0.0168566714004367,0.00210684399722527,0.009622983190042756,0.00947261913615486,-0.0035772626959338226,0.006114005424931666,0.02493185121182141,-0.02046405146089585,0.008497497805735341,0.020368380105729566,0.01177542358029274,-0.022144351520094044,0.02255461020337359,-0.00793677696268794,-0.01590689865204573,-0.00828094092746324,0.008395918314614023,-0.0015605208023323823,-0.007616605356352977,0.008160092396990976,-0.011354161251305802,0.0075021694750248705,-0.007330110343040534,0.004907270554564985,-0.010011769745573622,-0.005219412612514115,-0.00017867838707280828,0.01155619455858411,0.002808197918308015,-0.05001317444972171,-0.02372499388780406,-0.012664729692163892,0.0027103532639652693,-0.0009992339706756156,0.004146602315212025,0.01582967419127498,0.0018233255544020356,-0.013805521031223005,0.00576788976556398,0.005070217450672283,-0.012148514785887075,-0.006362535319099011,-0.0058974783277002,0.003531717100034029,-0.013236478916125624,-0.002247196139109926,0.0037763807357821693,-0.015115237522230483,0.0015158257949223037
H6G84_RS00045,0.010140509250743376,0.016161486755952817,0.0049748238797967335,0.006579606843480629,-0.027517503398326374,-0.002741122511141329,0.0031045486533085413,0.006977321813901497,0.004603697028173821,-0.010902140641408315,-0.010285716185293461,-0.02357831842980879,-0.018481368045778598,-0.0009196550249522893,-0.00161798271399305,-0.007521040985882352,0.023475554406335114,0.032683693291574084,0.029490699392084773,0.015361284083637345,0.0007200306786752068,-0.005147625409680896,-0.01898226355490445,0.004858206091108442,-0.0032706159171617868,-0.006214390390849161,0.006693768952221026,-0.01406806170015561,-0.017103129673802828,0.019547840932326133,-0.000705892729460863,-0.0016949949516539959,-0.006771150232649936,-0.012234749675652912,-0.030715729190007156,0.028541277746541437,0.010270767419942942,0.0005847597161143291,0.0073480167319524515,0.0038677452104229127,0.007101671676577137,0.0033859062091183105,0.020087683079144606,-0.002650060641426331,-0.010513115498311514,0.006560428030531145,-0.012516850541654627,-0.028092383423845187,-0.017680881007164077,0.00020730621198048363,0.004564014099062635,0.006758205033570597,-0.0006794615176255826,0.014689730026093816,-0.013606787514062376,0.007240338987490189,-0.017967070991953698,0.015220744921308595,0.007611400517511321
H6G84_RS00050,0.005993276089427458,-0.0012510887518499317,-0.006049608585750913,-0.002729400607795931,0.0017537146059809973,0.010547054626939716,0.013024619779377461,-0.006666193450307755,-0.005321818909392511,0.011764572018101816,0.024998377758953166,-0.01447462870251456,-0.003336889840138077,0.0008961750072086215,0.019764154502573315,-0.002574993681727827,0.010275685905704877,0.005945237813242985,0.011219324297008941,0.007052222891364479,-0.01359404174203092,-0.0034248547038894504,-0.004806299718292631,-0.0036949804931002105,-0.004850558811338959,0.009186246800853672,-0.002216645688446011,-0.0007148228306174364,-0.00761085183932228,-0.007111357279499037,0.006918823277224327,0.002836846031294009,-0.00152776528313796,-0.004382694941249651,-0.003550146827621365,0.004490750223020606,0.014468566460761525,-0.007077982488109985,0.014703770380346797,-0.01725823555423767,0.01075972751860542,0.005410121048242607,0.008310147132799586,-0.004279400938243425,0.002089672784840791,0.0015782656680303584,-0.010685686292495498,0.0018810642832922655,-0.001774714832502514,-0.00441127180208656,-0.025129415157222543,-0.009364631440581032,0.002258350762020158,0.034909391953328296,-0.01562747019286927,0.013980047492101568,-0.0008974710855596357,0.024131156652679335,0.0009400799401360581
