0,0
H6G84_RS01130,2.2252712
H6G84_RS04855,2.1780405
H6G84_RS00870,1.9738303
H6G84_RS08385,2.035993
H6G84_RS09745,1.7994976
H6G84_RS01795,1.3981912
H6G84_RS12485,1.944109
H6G84_RS02065,1.9864295
H6G84_RS06260,1.87351
H6G84_RS06060,1.9715815
H6G84_RS13065,2.3188632
H6G84_RS11535,1.0231266
H6G84_RS03740,0.8921761
H6G84_RS07270,3.3660119
H6G84_RS04910,1.1184516
H6G84_RS10905,1.9122113
H6G84_RS04445,1.9757075
H6G84_RS08505,2.2165482
H6G84_RS11790,1.9218485
H6G84_RS11970,2.1530268
H6G84_RS03125,2.598435
H6G84_RS05250,2.4726655
H6G84_RS02260,2.6391172
H6G84_RS03380,2.980938
H6G84_RS03180,1.9896774
H6G84_RS08955,1.9108299
H6G84_RS00080,2.1977715
H6G84_RS01690,2.1606507
H6G84_RS07370,1.0847437
H6G84_RS07065,2.0083148
H6G84_RS10965,1.7651266
H6G84_RS12810,1.5879725
H6G84_RS12160,1.544682
H6G84_RS03615,2.088358
H6G84_RS03495,1.9020202
H6G84_RS04575,1.8452494
H6G84_RS10470,1.989529
H6G84_RS09475,1.7011158
H6G84_RS02855,1.5902393
H6G84_RS09500,2.6343422
H6G84_RS07175,2.4599826
H6G84_RS07330,2.2985442
H6G84_RS08430,1.758551
H6G84_RS07345,1.920696
H6G84_RS13685,1.7957485
H6G84_RS10475,1.3751884
H6G84_RS12900,2.5029547
H6G84_RS11420,1.9326302
H6G84_RS09950,2.1169116
H6G84_RS13525,1.5697201
H6G84_RS05955,2.1405473
H6G84_RS04225,3.4519665
H6G84_RS02085,2.0622823
H6G84_RS12940,1.3397107
H6G84_RS02775,3.0529428
H6G84_RS13710,2.0932124
H6G84_RS09975,1.7641758
H6G84_RS12045,2.374031
H6G84_RS05285,2.2522624
H6G84_RS09205,2.4745665
H6G84_RS08960,2.0850317
H6G84_RS09485,2.150398
H6G84_RS03075,2.1442273
H6G84_RS12065,1.770853
H6G84_RS10085,1.932214
H6G84_RS04325,2.8744388
H6G84_RS13220,0.75976276
